Facility_Name,lat,long,level_0,State,City,Primary Restriction,Other Requirement 1,Other Requirement 2,Other Requirement 3,Other Requirement 4,Color Coding,num_max_books,only_paperback,condition_good_used_okay,bundle,has_no_restrictions,condition_new,needs_prior_approval,hardcover_okay,accept_books,Number_of_books_accepted
Cherokee,42.75128,-95.555309,418,Iowa,Cherokee,,No Magazines,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Clarinda Correctional ,40.762222,-95.035871,419,Iowa,Clarinda,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Adams County Jail,39.85872,-77.15774,420,Iowa,Corning,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Iowa Medical & Classification Center,41.582916,-93.715409,421,Iowa,Coralville,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Iowa Medical & Classification Center,41.582916,-93.715409,429,Iowa,Oakdale,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Iowa Medical & Classification Center,41.582916,-93.715409,421,Iowa,Coralville,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Iowa Medical & Classification Center,41.582916,-93.715409,429,Iowa,Oakdale,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
RCF,45.413575,4.399602,422,Iowa,Council Bluffs,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Fort Dodge Correctional ,42.484668,-94.195011,423,Iowa,FortDodge,,,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Iowa State Penitentiary,40.633832,-91.296355,424,Iowa,Fort Madison,DNS,,,,Confirm DNS 2-8-22 mike,dns,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
