FacilityName,lat,long,S,State,City,PrimaryRestriction,Other Requirement 1,Other Requirement 2,Other Requirement 3,Other Requirement 4,Color Coding,num_max_books,only_paperback,condition_good_used_okay,bundle,has_no_restrictions,condition_new,needs_prior_approval,hardcover_okay,color_v2,,
Marana Community Correctional Treatment ,32.41767,-111.24113,81,Arizona,Marana,,, ,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
4th Street Jail / Buckeye Jail ,39.270288,-77.637423,82,Arizona,Phoenix,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Phoenix Alhambra Reception,34.078538,-118.120501,83,Arizona,Phoenix,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Phoenix Aspen SPU,33.60503,-112.070892,84,Arizona,Phoenix,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Phoenix B - Ward,33.60503,-112.070892,85,Arizona,Phoenix,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Phoenix Flamenco Females,33.60503,-112.070892,86,Arizona,Phoenix,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Phoenix Flamenco Males,33.60503,-112.070892,87,Arizona,Phoenix,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Phoenix Inmate Worker,33.60503,-112.070892,88,Arizona,Phoenix,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Phoenix West Phoenix West ,33.481825,-112.168204,89,Arizona,Phoenix,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
FCI PHOENIX ,24.047019,84.072557,90,Arizona,Phoenix,,,,,,,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,"""orange""","""orange"""
Maricopa County Sheriffs Office ,33.604602,-111.720963,91,Arizona,Phoenix,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Florence Picacho Unit,43.779175,11.249456,92,Arizona,Picacho,,,,no dictionary,,,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,"""orange""","""orange"""
Safford Ft. Grant Unit,32.62398,-109.944539,93,Arizona,Safford,,,,No Sex,,,9999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Safford Graham Unit,32.822054,-109.720607,94,Arizona,Safford,,,,No Sex,,,9999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Safford Tonto Unit,32.822054,-109.720607,95,Arizona,Safford,,,,No Sex,,,9999,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,"""green""","""green"""
FCI SAFFORD Federal Facility ,32.822054,-109.720607,96,Arizona,Safford,,,,,,,9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,green,"""green""","""green"""
Yuma Cheyenne Unit,32.553325,-114.510731,97,Arizona,San Luis,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Yuma Cibola Unit,32.553325,-114.510731,98,Arizona,San Luis,,,,,Only from Amazon 5/31/16 meb,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
Yuma Cocopah Unit,32.553325,-114.510731,99,Arizona,San Luis,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,red,"""red""","""red"""
